품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,diags_small_id
Persian Cat(페르시안 고양이),MN,건강검진,B_W,동거묘 네로와 함께 내원 내원시 혈액검사만 건강검진차원에서 원하심 혈액검사상 bun 상승하였으며 평소 고단백 위주 식이 문제일 가능성있으나 신장질환 가능성 있어 정밀검진 필요성 말씀드림 추후 다시 내원하셔서 재검 및 추가검사 진행하시기로 결정하심 ,,,,,,,138,9
Maltese(말티즈),MN              ,2092,G_부천이지,o. 혈액검사 alt bun 약간 증가 소변검사 고비중뇨 흉부방사선 nrf 복부초음파 방광내 결석 우측 신장 cyst p. 내일 방광결석 슬개골탈구 수술 예정 입원 기간중에 신장 cyst 성분 검사 요로 조영술 검사 예정 ,"2099, 슬개골 탈구",23, 방광 결석 , 비뇨기과 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",124,1
Maltese(말티즈),MN              ,2275,G_부천이지, 오후관리사항 food 식사종류 양 수술후 금식 식욕상태 급식방법 urine feces etc tx ,,4, 사고 (교통 사고 포함) ,전신성의 질환,통증,통증,56,8
Pomeranian(포메라이안),F,2048,B_W, day 부터 묽은 변. dyschezia. 하루 에 번정도 배변. 기운이 많이 빠졌음. 어제부터 구토를 함. 어제부터 거의 먹지 않고 아침에 구토시 노란색물 구토. 주말에 사료를 바꿈. 사료 바꾸기 전에 식욕이 좋았으나 사료 바꾼 후 식욕이 없어졌음. 다른 가지와 섞여서 먹이는데 그 중에 하나만 바꾸었음. pe 기력이 없음. 탈수 소견은 없으나 발열. 체온 도. crp 분변 pcr 검사 의뢰. 복초에서 림프절 종대. 방사선상 이물은 확인되지 않음. 분변 도말상에서 clostridium 으로 의심되는 세균이 다수 관찰됨. pcr 분변 pending. tx 좌측 전지에 iv 카테터 장착한 곳 clipping하다가 피부손상하여 국소마취 후 피부 봉함. 보호자의 요구로 퇴원 조치함. 내일 내원하여 다리상처 부위 소독이 필요함. 알러지 검사결과 상담할 것. crp가 높아서 입원하면서 경과를 봐야한다고 설명하였으나 보호자는 퇴원을 요구함. ,,"1,2,3", 세균성 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),발열/고열",구토(급성/만성),471,0
K.C(Korean Cat),,2126,A_라라,정팀장 오전 주사 처치 함 밤 동안 소변 봄 계속 구석으로 갈려고 하고 목이 뒤로 넘어감 오전에는 소리도 냄 ,,16,,,발작,발작,61,4
Pomeranian(포메라이안),MN              ,2170,E_24시아이, v 식욕 활기 백신 사상충 밥을 잘 안먹음 배에서 소리남 구토 설사 무 활기 평소 상태 처럼 평상시 사료만 지금은 고기 섞어야 먹음 발치 치주염 심함 치아 흔들거려서 단단한 사료는 먹지 못한듯 금일 스켈링 치주염 치료 졸레틸 time . ,2170,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,134,6
Maltese(말티즈),MN              ,2092,H,좌측 후지 파행으로 내원. month 초나 중순경 처음으로 좌측후지 파행을 보임. 몇일 들고 다니다가 딛었음. 신체검사 좌측 draw test positive. 강도있는 무릎 움직임시 통증 느낌. 심한 슬개골 탈구는 느끼지 못함 단 관절염에 의한 부종때문일수 있음 우측 슬개골 탈구 grade 방사선 촬영 방사선 소견 좌측 심한 관절염소견 슬개골 원위에도 관절염에의한 변형. 관절낭 부종이 아주 심함. 경골이 앞으로 밀려있음. 경골도 골증식이 있음. 우측 슬개골 탈구 방광결석 방광내 결석 개. os penis 내에 결석이 개 이상있음 평소에 혈뇨를 본다고 함. 좌측에 관절염이 심해서 내일 결석 수술 실시 방광결석 및 요도결석 제거술 좌측 무릎 prp. 방광결석 성분검사. 소변 침사 rbc sludge 소변 도말 degenerative neutrophil cocci 귀 도말 cocci ,,, 방광 결석 , 비뇨기과 질환 ,,,442,1
Shih Tzu(시추),MN              ,2092,H,혈뇨 확인 됨 소변 잘 못 눔 눌 때 힘들어함 day 저녁부터 소변 잘 못 눔 현재 소변이 거의 나오지 않음 묽은 변 확인 구토 확인 물만 먹어도 구토 확인 현재 밥도 안먹음 평소에 스트레스 받으면 혈뇨 확인된 적 있음 피부 쪽에 좋은 사료 먹음 육포 급이 지난 day 다른 집에 갔었음 차타고 가면서 부터 혈뇨 확인 최근에 병원에 내원하신 적 없었음 심장사상충 예방 매달 해주심 외부 기생충 구제 안해주심 청진 상 특이사항 없음 mm pink crt dehydration bcs femoral pulse normal 슬개골 탈구 rt lt od ocular discharge 복부 촉진 상 복압 상승 및 ub 촉진 pln 확인되지 않음 혈액 검사 cbc 백혈구 상승 chemistry 전해질 불균형 bun crea 상승 hepatic enzyme mild 상승 crp bga ph lac 정상 복부 방사선 팽창된 방광 및 결석 확인 요도 결석 확인 전립선 비대 복부 초음파 신우 요관 확장 확인 방광염 좌측 잠복고환 전립선 비대 소변 검사 혈뇨 확인 severe 방광 카테터 장착 이후 혈액 소량 섞인 배뇨 확인 방광 결석 수술시 왼쪽 잠복고환 제거술 동시에 진행 예정 보호자분 동의하에 병리학적 검사를 실시하기로 함. ,,, 방광 결석 , 비뇨기과 질환 ,,,628,1
Maltese(말티즈),FS              ,2092,F_센트럴,cc 방광 결석 수술내원 그린병원r 방사선검사 방광결석 수십개 tx 방광결석 제거 수술 요카테터 장착 butorphanol amp ,x,76, 방광 결석 , 비뇨기과 질환 ,방광결석,방광결석,73,1
A.Cocker Spaniel(아메리카 코커),FS,2116,C_잠실ON,cc 유선종양 작년에 자궁축종증 때 ohe 실시 수술 전 좌측 하복부 mass발견 염증약 먹이고 효과 없음 염증약 효과 없어 수술 필요하다고 해서 수술 조직검사 실시하지 않음 month 전 수술 수술 후 발진 부종 기존에 없던 주변 mass 형성되어 전이소견은 아닌지 걱정되어 수술병원에 문의시 fna 상 종양 소견은 없다고 하며 소염제 처방 받음 month 전 수술 후 다리 부위 붓고 추가적인 mass 확인됨 다음주 day 아래 체크된 항목 검사 money 정도 비용발생 후 당일 ct촬영 만 저녁 퇴원 실시 예정 다음주 day ct촬영 오후 time 사이로 예약 후 전화 드릴예정 이안 money 헬릭스 money ,,, 유선 종양 / 유방 종괴 , 생식기 질환 ,,,347,3
Maltese(말티즈),F               ,2116,E_24시아이, month month 약처방 이후에도 파행 개선되지 않음. 금일 붕대 제거후 보행 test 완전파행. 전혀 딛지 못함. 슬개골 전십자인대.특이사항 없음. month 간 약 더 복용해 보기로. 다음주 day 중성화수술 유선종양제거 수술 예정임. 금일 검사 미리했음. 후지파행은.대퇴골두 아탈구 수술 할수도 있음. ,2116,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",175,3
Pomeranian(포메라이안),FS              ,2133,H,애기가 더아파해서 오늘 내원하신다 하심. time 경 내원하실 예정이고 어제 상담받은 선생님께 진료원하심 아침에 약은 먹였고 밥은 자율식이라 먹었는지 모르겠다하심. 내원하셔서 ct를 찍고싶어 하시나 아이상태 체크후 가능해서 일단 내원하시라함 부토판 앰플 미다졸람 time 프로포폴 time 약에 큰 효과 없는 것 같다고 함 경추 압박시 통증호소 이전보다 검사상 통증 증가 삼두근 반사 우측이 좌측보다 항진 ct 검사 lt ivdd 압박률 rt. ivdd 압박률 비강내 삼출물 및 연구개 노장및 종대 확인됨 ivdd 메인 병변은 부위로 의심됨 연구개 노장 갑상선 기능 저하증 의심 수술을 통한 디스크 탈출물질제거 추천됨 부위 보호자분 가족분들과 상의 필요함 일단 약의 반응 보고싶다고 하심 약의 부작용 약 먹고 수술시의 출혈 과다등 예후 불량 가능성 안내함 증상악화시 수술 바로 하시기로함 비용 술후 ct 촬영시 비용 추가 다이어트 필요 갑기저 투약 trial 해보거나 재검 받아보시도록 안내함 ,,, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,,,500,5
Scottich Fold Cat(스코티쉬 폴더 고양이),F,2170,A_라라,s month 전 살 아이를 분양 받음 최근 집을 나갔다고 생각했으나 장롱에서 month 동안 있었음 울지도 않았음 나오자 마자 사료를 먹었음 건강 상태가 궁금해서 내원 지방간 비뇨기 혈액검사 plt 상승 일주일 후 재검사 alb 수치 저하 일주일 후 재검사 복부 방사선 위 확장으로인해 소장 대장이 아래로 밀림 가스 소견 후지 방사선 좌측 대퇴골두 이상 허혈성 괴사 대퇴골두 퇴행성 변화 혹은 스코티쉬폴드 연골 이형성증 건강 상태 체크 일주일 후 위 이상 상태에 대해서 재검진 해 보고 연골 쪽은 앞다리에 대해서도 검사 하기로 함. 이상 여부 확인 후 수술 상담 ,,,,,,,316,6
Jack Russell Terrier(잭 러셀 테리어),MN,2126,D_VIP, refer. 의뢰병원관련 진료전 전화완료 진료후 전화완료 원장님 요청사항 none 주호소 발작 현증경과 산책 후 밭 근처에서 무언가를 먹은 후 time 후 발작 의뢰병원 내원하여 응급처치 후 바로 의뢰 아트로핀 im 트라 s xylazine timeim 보호자분과 함께 산책 후 들어와서 볼일을 보고 비틀대다가 발작 시작했다고 함 타박이나 trauna 가능성은 없음 중간에 구토 심하게 수차례 소화되지 않은 아침 음식 처음 발작시 paddling 원래 주워먹는 습성 있음 med for this symptoms sur 중성화 중성화 마취 후 일시적 증상 처음 tru vac all hw diet 일반 이물 섭식 가능한 성격 eh indoors dog 산책 자주 집주변에 밭이나 야생동물 가능 systemic gen skin nervous eent res cv gi ur rep ms ns 현증 신체검사 mental coma hr normal rr tachy bp no bcs mmc crt 측정곤란 탈수평가 mild no murmur crackle 혈액검사 nrf 영상검사 발작지속상태로 내원하여 미실시 dx ddx seizure status epileticus toxicosis 유기인제 농약 등 뇌내성 문제 nme 등 내원 당시 이미 status epileticus로 내원하여 초기 응급처치에 반응 없어 propofol cri 중에 보호자 상담 및 평가 진행 병력상 중독에 의한 발작 가능성이 높으나 경과와 임상증상의 심각성 기타 혈액검사상 이상 징후가 없는 양상으로 보아 정확한 중독물질을 특정하기 어려움 환경상 유기인제 농약 중독 가능성은 고려 따라서 trauma나 다른 원인에 의한 발작 고려하였으나 가능성은 없는 상황 중독물질을 특정할 수 없는 상황에서 잠재적인 뇌내성 문제 광범위한 mue 등 은 추가적인 고려사항임 tx 수액처치 plasma sol 유지 배 주사제 diazepam time kg 회 phenobarbital time kg 후 발작 호전 없어 propofol time lg iv bolus 후에도 time 후 발작 재개 propofol cri time kg min 시작후에도 발작 호전 없어 time kg min까지 증량 이후 호흡수 감소하고 점막색 탁해져서 time kg min으로 감량 감압 mannitol kg cri furo time kg iv dexa time kg iv e 현재 중독 물질 특정할 수 없으며 중독이라고 해도 증상 정도와 지속발작 상태 감안시 예후는 부정적 금일 밤사이에도 사망할 수 있으며 회복되더라도 후유장애 남을 수 있음 보호자분은 무리한 연장은 원치 않으며 가망이 없다면 안락사 요청하심 외국인 남자분 밤사이 프로포폴 cri 서서히 감량하면서 발작 재발 여부 확인 순조롭다면 추가 평가 및 상태에 따라 이후 입원기간 및 예후 재판정 감량 불가한 상태라면 익일 안락사 진행 가능 오전 중 통화하여 결정하기로 함 ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,1440,4
Maltese(말티즈),M               ,2170,E_24시아이, 타병원에서 발치하다가 턱뼈 나갈수 있다고 해서 본 병원에 내원함 식욕 활기 백신 사상충 상하악 전구치 all 발치 스켈링 졸레틸 time p month 입원 후 퇴원 비용 많이 네고해줌 . ,"스켈링, 발치","6102,26", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"치주염,구취",치주염,107,6
Maltese(말티즈),FS,건강검진,B_W,밥은 잘 먹고 있음 설사증상없음 다음증상은 없음 약간 노란색을 띄는 소변 켁켁거리는 증상은 가끔 있음 흥분하면 켁거리는 증상은 있으나 기침은 심하지 않음 코고는 증상 및 코막힘 소리가 남 숨을 쉴때 코에서 막힌듯한 느낌이 있을때가 있음 슬개골 탈구가 있음 과거에 중성화 수술후에 트라우마가 생겨서 시켜주지 못하심 체중은 kg에서 kg까지 줄임 heart murmur grade usg money blood test non specific findings mild cardiomegaly acvim stage not necessary medication 마취는 충분히 가능하다고 판단되므로 빠른시일내에 스켈링 진행하기로 함. 추가비용 money 예상됨 ,"2001, 2170",5,,,기침,기침,364,9
Maltese(말티즈),F               ,2170,G_부천이지,금일 money 만 결제하고 나머지는 다음에. 치주염 치석 마취전 검사 혈액 검사 nrf 방사선 검사 nrf 처치 수액 처치 암피실린 time kg 스켈링 잇몸 치료 발치 치과차트 참고 발치 치근노출 furcation 추후 발치 필요 ,,6102, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,치주염,치주염,131,6
Maltese(말티즈),FS              ,2116,G_부천이지, 수술명 유선종양 반적출 양측슬개골탈구 술전검사 결과 특이사항 chemistry 고지혈증 cbc nrf electrolyte ray nrf sono 비장내 hyperechoic nodule 양측신장결석 b.p 수술전 처치 항생제 cepha enro 진통제 meloxicam fluid sd 마취종류 호흡마취 isoflurane 기타 ,"슬개골 탈구, 2088, 2233",221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",186,3
Maltese(말티즈),MN              ,2092,H,소변에서 피가 조금씩 묻어난다고 함 이전에 병원에서 진단받았고 방광결석 수술하려다가 비용문제로 안하셨다고 함 며칠 전에는 배가 아픈지 앓다가 괜찮아졌다고 함 식욕은 괜찮음 음식을 많이 먹고 나서 구토를 할 때가 있다고 하심 month 일 전 배 아파하고 나서 구토를 했었음 다리는 아파하지 않고 잘 걸어다님 안지훈 선생님께 인계 비용 관련 할인 받으신다고 안지훈과장님께 보고싶다고 하심 탈수 간수치 상승 bun 상승 수액 처치 후 간수치 재검 소변을 방울방울 누는 양상임 초음파상 간에서 특이소견 확인되지 않고 방광내 결석 이외의 특이점 없음 수술 가능여부 파악 내일 방광결석 수술 예정 세균배양 및 항생제감수성검사 방광결석의뢰 같이 해주세요 특히 소변 세균배양은 제가 청구는 했는데 샘플을 버려버려서. 부탁드립니다. 수술 및 입원동의서 작성하였습니다 보호자분 동의하에 병리학적 검사를 실시하기로 함. ,,, 방광 결석 , 비뇨기과 질환 ,,,449,1
K.C(Korean Cat),FS,2170,D_VIP, money 결제완료 실제 결제금액 간식비 포함된 money 입니다 송이 금식완료. cc 구강출혈 보호자분이 보시기에 치아흡수병변보임. 입안 통증 호소. 그루밍 후에 몸에서 침 냄새. 식욕 저하까지 보이진 않음. 이전 병원에서 발치 경력있음. laboratory exam cbc n.r.f chem ea n.r.f radiography thorax mild tracheal narrowing at the site cranial to thoracic inlet. 임상적으로 유의적인 특이사항 없음. 마취 진행 가능. dental examination general dental calculi ci forl of stage dx forl mild dental calculi tx scaling tooth extraction by open technique ce 치아흡수성병변은 우측 하악 어금니에만 한정되어 발견되었습니다. 해당 치아만 발치 진행하였습니다. 치석은 미약한 수준으로 관찰됐습니다. 정기적인 검진을 통해 치아 관리해주시길 권장드립니다. 일주일 최소 month 간은 단단한 건사료 급여는 지양하여주시기 바랍니다. rx metronidazole spiramycin time kg po bid famotidine time kg po bid fordays ,,"15,0", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"출혈,기타 증상",출혈,648,6
Poodles(푸들),F               ,2048,E_24시아이,암컷 중성화수술 문의 어제 양주시 유기견보호소에서 분양받음 어제 밥 다량먹고 설사 혈변 수회 금일도 밥 잘먹음 종합백신은 했는데 항체가검사 심장사상충 검사 안함 식욕 활기 백신 사상충 중복부 복통 campylobacter spp. 다수 wbc cell 다수 세균성 장염 금일 엑스레이 상 설사 또 나타날 수 있음 고지 tp low hct low 한달뒤 재검 요망 중성화 시 심장사상충 항체가 검사 하신다고 하고 중성화 때 방사선 혈액검사 등 중복되는검사는 빼줄것 . ,-,"2,42", 세균성 장염 , 소화기 질환 ,"설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),혈변",설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),261,0
Maltese(말티즈),FS,2092,C_잠실ON,cc 생식기에서 점액질 분비 요며칠 생식기를 자주 핥음 생식기에서 노란빛 점액질 분비되는것 발견 식욕 정상 변정상 활력 정상 배뇨 정상 오줌을 자주 보지는 않음 중성화 수술은 어렸을때 함 방사선 방광결석 개 혈액검사 세파 sc 내일 오전 time 에 내원하기로 함 점액질 원인이 방광인지 stent pyo인지 감별하기 위해 초음파 뇨검사 등 추가검사 진행할수 있다고 설명드림 내일 수술 가능하다고 말씀드렸고 공복으로 내원하기로 함 ,,24, 방광 결석 , 비뇨기과 질환 ,"삼출물, 분비물, 농루","삼출물, 분비물, 농루",241,1
Mixed(혼합),F               ,2275,E_24시아이, 체리아이는 원래 있었음 pm 교통사고. 차에 깔렸다고 들음 최근 생리. 식욕 활기 백신 사상충 a rad 골반골절 내일 오전 폐출혈 기흉등 방사선 촬영 및 방광초음파 언니 동생 응급시 콜 ce 갑자기 저혈압 혈전색전증 심장마비등 외상 후 기본적인 바이탈 떨어져 급사가능성 있음. 박입원해서 지켜보고 내일 윤부원장님과 골절에 대해 상담예정. 비용논의 하지 않음 혈압 심전도 응고계 혈전은 살면살고 비용땜에 안하신다고. 혈뇨 혈변 방광누출 피부박리 폐출혈 기흉 이것저것 나타날 수 있는 부분 고지해 놓음 . ,,77, 사고 (교통 사고 포함) ,전신성의 질환,골절,골절,283,8
Beagle(비글),FS              ,2048,F_센트럴,cc 어제 오전 구토 회 오전 중 병원진료 이후에도 구토 배변은 하지않음 타원에서 주사처치만 받음 검사하지않음 diet 세타이어티 사료 month 급여중 개껌 야외에서 배변 ,x,1, 세균성 장염 , 소화기 질환 ,구토(급성/만성),구토(급성/만성),97,0
K.C(Korean Cat),MN,2095,B_W,hx 어제 저녁부터 화장실을 들락거리나 배뇨하지 못함 오늘 새벽부터 점차 활동성 감소 오늘 아침에 구토 어제 저녁에 먹은 사료 소화물 어제 저녁에는 건식 사료 잘 먹었으나 오늘 아침에는 전혀 먹지 않음 어제 저녁에 정상 배변 오늘 아침에는 배변 없음 약 month 전에 반나절 정도 화장실 들락거리다가 정상 배뇨 오늘 오전에 헬로우 동물병원에서 ray 촬영 및 혈액 검사 후 요도 카테터 장착 시도했으나 실패하여 본원 진료 의뢰 예방 접종은 기초 접종 이후 미실시 심장사상충 예방약은 최근 몇 년간 투여하지 않음 pe depression hr bpm rr time pm bt sbp time hg crt sec x ray vhs full urinary bladder kidney length right left o abdominal ultrasonography mobile echogenic particles in the urinary bladder hyperechoic particles in the urethra increased echogenicity of the renal cortex in both kidneys diameter of the adrenal glands right time left time small amount of anechoic free fluid around the spleen no remarkable findings on the spleen liver gall bladder pancreas stomach and intestine bloodwork cbc mild leukocytosis mcl polycythemia hematocrit chemistry increased bun crea ggt amyl etc. electrolytes within normal limits blood gas ph pco hco etc. saa sdma pending idexx urinalysis color dark yellow sg money dipstick ph blood protein negative glucose etc. sediment struvite crystals erythrocytes bacterial culture pending idexx dx feline lower urinary tract disease ddx chronic kidney disease 입원 후 요도 카테터 장착 수액 요법 항생제 등 약물 투여하며 경과 관찰 tx urethral catheterization cefazolin time kg tid iv slowly cimetidine time kg tid iv slowly maropitant time kg sid iv slowly cystaid pluscapsule cat bid po fluid therapy with s kcl time eq taurine vitamin fr time kg hr ,,"1,901,21", 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"구토(급성/만성),배뇨장애(통증, 곤란), 빈뇨, 이소배뇨,식욕부진, 식욕저하",구토(급성/만성),1435,2
Scottich Fold Cat(스코티쉬 폴더 고양이),MN,건강검진,D_VIP,s 건강검진 및 내일 스켈링 예정 신체검사 좌측귀에만 슬러지 많은 상태 치석 많음 귀 염색현미경검사 세균 곰팡이 소량 관찰됨 방사선 우측신장의 사이즈 작아짐 위축 좌측 신장은 정상상한치의 사이즈 초음파 우측신장 에코증가 위축소견 그외에는 특이소견 없음 ,,,,,,,141,9
Pomeranian(포메라이안),FS,2126,C_잠실ON, cc 발작 month 전부터 식욕저하 금일 입 주변에 침이 묻어있음 몸을 떨었다고 함 진료 중 발작증상보임 뒷다리 골절로 여러번 수술하셨으나 경과 좋지않아 후지 불편하다고 하심 . 혈액검사 방사선검사 . cbc상 경미한 탈수소견 . chemistry 상 간수치 높음 . 혈액전해질 정상 . ray상 흉부 복부 특이점 없는 것으로 보임. 두개골 ray는 아이가 경직되고 흥분하여 occipital view촬영 못함 발작증상 호흡곤란 보임 내일 안정후 다시 촬영 예정 . 발작으로 뇌압상승하여 일단 병원에서 cage rest하며 감압처치 받기로 함 tx. cefa time kg iv mpss time kg iv mannitol kg iv plan. month 정도 입원하셔서 cage rest와 처치 받으셔야 한다고 말씀드림 mri 대략적인 비용과 진단위해 빠른 시일 내에 찍으셔야한다고 안내드림 금일 새벽은 아이 응급처치 후 내일 원장님과 상담하시기로 함 수납 후 추가된 검사 보호자분께 고지함 동의하심 전해질검사 화학검사 kit 개추가 진찰료 금일 time 수납하고 가심 ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,546,4
K.C(Korean Cat),MN,2092,D_VIP, money 선결제 송이 혈뇨 탈수 최근들어 혈뇨와 빈뇨증상을 보임 밥도 잘 안먹는다고 함 탈수 체중 정도 감소함 혈액검사상 염증수치 상승외에는 특이소견 없음 방사선상 방광내 다량의 결석 확인됨 복부초음파 local scan by joohee findings 방광 내 다량의 결석 확인됨 전립선 요도에서 결석 확인됨 time 방광 주변 복막염 및 소량의 free fluid 확인됨 imaging dx ddx ub calcuil urethral calculi peritonitis 방광결석에 준해 수술적인 치료가 필요함 오늘은 수액처치와 함께 방광염증 치료 진행후 내일 퇴원예정 ,,"8,59", 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,323,1
빠삐용,F               ,2116,G_부천이지,s 최근 유선 많이 핥음 치석 많음. 양치질 안함 보호자 요청에 따라 병리학적 검사 실시함 유선 열감 있음 유즙 분비 흉부방사선 혈액검사 초음파검사 tx 스켈링 수액처치 항생제처치 clindamycin rx 내복약 month 분 로도질 파모티딘 트라마돌 분배 담당자 분배 방법 자동 수동 복약 지도 주의사항 담당의 지도 음식과 함께 식전 식후 공복 캡슐 mg 아침 저녁약 다름 e month 잇몸 출혈 통증 스켈링 후 폐렴 진행 가능성 ,2178,0, 유선 종양 / 유방 종괴 , 생식기 질환 ,기타 증상,기타 증상,244,3
Mixed(혼합),MN              ,2275,G_부천이지,내원하신분 전화 번호 tel 청안 동물병원 의뢰 골반 골절 진단 받음 pe 움직임 적음 온순 의식상태 양호 외관상 하복부 피부 피하 출혈 plr 반응 양호 보호자분 요청으로 병리학적 검사를 실시함 혈액 검사 간부전 말기 신부전 빈혈 췌장염 검사 양성 전신 방사선 검사 rt. si joint lux. pelvis symphysis 골절 하복부 serosal detail 일부 소실. 복부 초음파 복수x 주요 장기 간 담낭 신장 비장 방광 파열 의심 소견 없음. 방광은 뇨로 가득 차 있고 후방으로 변위되어 있으며 전립선과 맞닿아 있는 부분이 모호하게 보인다. 전립선은 intact male에서 볼 수 있는 크기이나 대칭적인 형태는 잃은 상태. 고환 개가 반대쪽에 비해 크기가 경미하게 커져 있고 작은 무에코 병변 포함한 heterogenous 실질. 비장에 약 cm 크기 저에코 병변 개 발견. 상담 내과적인 치료 후 상태에 따라 수술 내과적인 치료에 반응 없을경우 수술은 무의미 수술할경우 술전에 ct 촬영 예정 내과적인 문제 신부전 췌장염 에 의해 사망 위험성 높음 설명 방광 근위부 전립선 부위 요도 파열 의심 요도 카테터가 복강내로 진행 내일 상태에 따라 방광으로 요도카테터 삽입 설명 처치 수액처치 saline 타우린 오니푸랄 헤파밀즈 산소 공급 엔로 time kg sid 세파 time kg 파모티딘 time kg 트라마돌 time kg tid 오후관리사항 food 식사종류 양 금식 식욕상태 급식방법 urine feces 노란 구토 회 etc 뇨 g뽑음 치료 및 상담내용 tx e ,"2085, 2087, 2082",77, 사고 (교통 사고 포함) ,전신성의 질환,골절,골절,780,8
K.C(Korean Cat),MN,2170,D_VIP,배변 배뇨 좋음. 마지막 변이 무른타입. 예전에는 설사가 많았는데 요즘엔 오리젠 내추럴초이스 먹이심. 내발 캔이랑 섞어서 으깨서. 양측 상악 하악 전구치 치주염 매우 심함. 출혈과 발적 마취전검사 혈액검사상 특이사항 없음. 흉방 미약한 좌심비대 의심소견 bnp normal sx severe peridontitis 발치 조직 일부 biopsy 병증 양상으로 보아 lpgs or juvenile gingivitis가 의심됨. 체중관리 진행하면서 일단 목표 치은염 관리합니다. month 뒤 재검 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,276,6
Maltese(말티즈),FS              ,2092,E_24시아이, 기운이 없고 활력없고 식욕없는데 간식은 잘먹음. 소변을 계속 보려는 자세를 취함. 생리를 한다고 생각해보니 실금이 year 전부터 있었다고. 식욕 활기 백신 사상충 a rad us 방광결석. 신우신염 가능성. 퇴원시 내복약 사료 별도 . ,2089,"21,28,901,76", 방광 결석 , 비뇨기과 질환 ,"식욕부진, 식욕저하,기력저하,배뇨장애(통증, 곤란), 빈뇨, 이소배뇨,방광결석","식욕부진, 식욕저하",134,1
,MN,2095,B_W, year 전에 하부요로 폐색 번 정도 재발 오늘 아침부터는 오중믈 아예 목쌈 그 이후에 약간 소변을 봄 오늘 두어차례 구토 식욕은 있었음 아이가 너무 난폭해서 보호자 동의하에 마취하고 검사 진행 혈검시 탈수 심하고 락테이트 증가 방광염 가능성 내성검사 말씀 드렸으나 보호자 보류 전해질 불균형있어 하루 입원 탈수 교정하고 퇴원하기로 함 방광이 비워 있는 걸로 보아 완전 폐색은 아님 ,,"1,901", 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"구토(급성/만성),배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",구토(급성/만성),215,2
Maltese(말티즈),FS              ,2170,H,cc. 식욕부진 재진 구토 설사는 특이적이지 않으나 여전히 밥을 먹지 않음 물은 마시고 있음 잠은 잘 잤으나 중간에 깬 이후 찡찡 거림 활력은 나쁘지 않음 한마음 동물병원에서 투약받고 있음 신장보조제 심장약 종양약 쿠싱약으로 생각됨 pe bw kg systolic murmur bp cuff rt.fl 심한 구취 치석 치은염 림프절 nrf 양안 노령성 핵경화 혈액 검사 anemia 비재생성 azotemia bun cre phos elevated alp amylase crp dimer 전해질 nrf 요검사 비중 money acth 방사선 신장 결석 좌측 부신종괴 복강 선예도 감소 흉부 폐야밀도는 노령성 변화 mvi 복부 초음파 gb sludge 다량 담낭 크기 증가. 간실질 특이소견 보이지 않음. 좌측 부신 지름 cm 원형에 가까우며 좌측신장을 후방으로 약간 변위시키고 있으며 침습 여부는 확인되지 않음. renal vein 을 뒤쪽으로 압박하고 있어 수술시 고려해야 할 사항임. 우측 부신의 크기는 time 이하로 정상크기. 종괴 내부에는 혼재된 echogenicity 를 보임. cvc 압박 심하지 않음. 소장에 이상소견 보이지 않음. 장간막 림프절에도 이상소견 없음. 양측 신장결석 ckd 담낭찌꺼기 좌측 부신 종양 식욕부진과 연관 된 소화기계 이상 소견은 특이적이지 않음 식욕부진의 원인은 치석과 심한 치주염에 의한 것으로 생각되며 azotemia가 영향을 주었을 가능성도 있음 원 내에서 d d 닭캔을 데워서 주었을 때 잘 먹었음 구토 설사 등의 소화기계 증상 없음 입원 또는 퇴원 여부 결정 예정 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,791,6
