품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,symptoms_id
Mixed(혼합),MN              ,2087,F_센트럴,옥수수 동물병원에서 신부전진단 time 전부터 식욕이 줄고 month 전부터 전혀 먹지 않음 요독증 췌장염 요로감염 대사성산증 고암모니아혈증 고인혈증등 대사이상 ,x,21, 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,"식욕부진, 식욕저하","식욕부진, 식욕저하",90,9
Dachshunds(닥스훈트 ),FS,2046,A_라라,s month 전 day 점심 떄 la 갈비를 주셨음. 구토 month 동한 하였음. 청진 양호 호흡상태 양호 구토로 인한 탈수 방사선 소견 소장에 la 갈비가 걸렸음. 제거해야 구토가 멈출 것으로 여겨짐. 이물섭취 수술은 못해주시는 상태임. 안락사 원하셨으나 일단 내려가는지 하루만 더 지켜보자고 말씀드림. 내일 오셔서 재상담. ,,1,,,구토(급성/만성),구토(급성/만성),185,0
Mixed(혼합),MN              ,2087,D_VIP, 식욕 없음 물 먹고 찐득한 침 뱉어냄 콧물도 조금 있는 것 같음 어제 집에서 먹고간 뒤 구토는 없음 물은 먹고는 있으나 오늘은 먹지 않음 기침 그저께부터 없음 배변 어제부터 없음 기력도 저하 cbc wbc 만 천 이전 만 hct plt 로 양호 전해질 양호 종합혈청 혈당 정상 신장수치 정상 간수치 중 alkp 여전히 측정불가 alt ,"Cholelithiasis, Pancreatitis",1, 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,구토(급성/만성),구토(급성/만성),188,0
Pekingese(페키니즈),MN,2137,B_W,첩모중생 districhiasis 및 좌안의 표재성 각막미란 레이져 시술 진행함 익일까지 안약 투약 및 진통 항생처치 후 오후에 퇴원예정 tel 남자보호자님 tel 여자분 ,2151,4, 궤양 성 각막염 (각막 미란 포함) , 눈 및 부속 기관의 질환,통증,통증,96,12
Poodles(푸들),FS,2101,D_VIP, cc 구토 식욕부진 며칠전 구토 오늘은 하지 않음 며칠째 기운 없고 식욕 저하. 병원에서 캔 구매하셔서 먹이니 이틀동안 조금 먹음 누워있으면서 만지려고 하면 깨갱거림 이전에 전에 혈액검사 초음파 진행하셨고 자 평소에 사료 사람먹는걸 먹이심 고기 좋아함 한달전 생리. 양이 평소보다 많았음 지역병원 내원하셨고 혈액수치 이 넘어간다고 얘기 들으심 어떤 수치인지는 모르심 pe mental status depressed systolic heart murmur pmi lt apex 폐음 양호 dehydration mmc pink crt ou cataract generalized alopecia ba leukocytosis azotemia bun cre hyperglobulinemia bicarbonate 감소 crp 증가 cpl positive 기타검사 소변배양 자궁조직 노스벳 혐기성 배양 의뢰한 상태 방사선검사 finding ddx vhs tracheal collapse grade ii bronchial collapse tracheobronchial mineralization wo bronchitis ivdd and spondylosis c microhepatica 복부초음파 finding ddx gb sludge vacuolohepatopathy hepatitis bilateral renal calculi and renal cysts ckd nephritis hyperadrenocorticism lt adg time rt adg time ceh and uterine complex pyo hemo muco. etc severe ub sludge wo mild cystitis chronic chronic active pancreatitis moderate enteritis ibd lymphoma mast cell tumor comment 초음파 버튼동작 이상으로 몇몇 annotation 표시 되지 못했음. 간의 에코는 피하 지방의 심한 빔감쇄로 과소평가되었지만 echo texture가 fine 한것으로 공포성 간병변 간손상 등을 배제할 수 없음. 공포성 간병변은 쿠싱 고지혈증 갑기저 당뇨등이 영향을 줄 수 있음. 양측성 다수의 신장 결석과 낭종이 확인되며 고에코 변화로 ckd 가능성 있음. 왼쪽 부신 크기증가로 쿠싱을 배제할 수 없음. 매우 심한 ub sludge는 상행성 요로 감염에 의한 nephritis 또는 다른 원인에 의한 신장손상으로 인한 다수의 debris 축적 가능성이 있으며 요검사와 혈액 검사 통한 감별 필요할 수 있음. 심한 슬러지에도 불구하고 방광벽의 두께 증가가 관찰되지 않아 방광염이 슬러지의 주 원인이 아닐 가능성이 높지만 이차적으로 병발될 가능성은 있음. 자궁 확장 정도는 아직 정상범위를 넘지 않았지만 자궁내 fluid 가 echogenic 하여 pyometra등의 uterine complex를 배제할 수 없음. 지속 두게 된다면 pyo 로 진행될 가능성역시 높으므로 ohe 추천됨. 만성 췌장염 또는 만성 활성형 췌장염 소견을 보이며 해당 염증이 지속될시 추후 epi 나 당뇨등이 병발할 수 있음. 소장들 특히 십이지장의 근육층 벽두께 증가가 관찰되며 췌장염에 의한 위장염일 수 도 있지만 ibd lymphoma 등의 장 원발성 병변 가능성 역시 높음. radiologist 윤학영 dvm phd pyometra ckd pyelonephritis sus bacterial cystitis pancreatitis renal calculi gb sludge mmvd hac sus close type의 자궁축농증으로 판단되며 세균성 방광염 신우신염 췌장염 등 다른 문제들도 확인되고 있음. sirs 초기로 생각됨 ohe 수술 진행 및 수액 및 항생제 처치 지속할 예정 hac는 안정화된 후 스크리닝 검사 진행할 예쩡 ce 현재 전반적으로 아이 좋지 않은 상태이며 노령인 점 자궁외 문제들도 다수 확인되는 점 등을 바탕으로 수술 중 위험성 높은 아이고 술후에도 회복 기간이 더딜 가능성 높다고 알려드림 장기간 입원 치료가 필요하다고 말씀드림 sx ohe 진행. 안승엽 과장님 tx ns 유지 두배 호이vial famo time kg bid meto time kg bid ampicilin time kg qid enro time kg sid metro time kg bid tramadol time kg bid 필요하다면 추가 진통 butorphanol 추가 레나메진cap bid 레날 어드밴스sp bid sucral timebid chx 으로 구강소독 bcp crp 리첵 ,"CKD, 신우신염","1,21", 자궁 축농증 , 생식기 질환 ,"구토(급성/만성),식욕부진, 식욕저하",구토(급성/만성),2253,2
Maltese(말티즈),FS,2071,C_잠실ON,cc 미용 후 안절부절 못하고 불안증세 식욕 저하. 자다가 구토를 차례정도 하는 것을 발견 새벽 노란색 포말성 거품. 변은 괜찮음. 식욕은 저하. 간식류는 잘 먹는편. 평소에 주변 화장품이나 다른 물건등을 먹을 확률은 있다고 함. 단순 스트레스 성이면 month 이내에 통증 불안 증세가 사라질 수 있으나 month 정도 지속된 상황이라 보호자분께 방사선 초음파 혈액검사 등 정확한 원인을 찾는 검사가 필요하다고 말씀드림. 또한 입원처치 또한 받으시라고 말씀드림. 신체검사상 복통 호소 ray 상 위 장내에 gas 음영 혈액검사상에는 이상소견 발견 안됨. 아무래도 원인 모를 복통은 호소하고 있으므로 하루정도 입원처치를 받고 내일 정과장님 출근하시면 복부 초음파 및 필요하다면 내시경 검사 등이 필요할것으로 사료됨. 초음파까지는 무조건 한다고 말씀드렸고 내시경을 진행하실 경우 반드시 보호자분께 연락주시기 바랍니다. ,,1, 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,구토(급성/만성),구토(급성/만성),457,0
Poodles(푸들),F               ,,E_24시아이,유기견 분양. 대략 살정도 되어보임. 치석조금있음. 방사선상 기관지패턴 많이보이고 전종격쪽 기관이 위쪽으로꺽이는모습보임. hw 항체가 검사 parvo hepatitis high distemper 치석있음. 눈꼽 및 눈앞쪽 습진 털이 너무 길어서 그런것으로 생각됨. crp 수준으로 높은편. wbc도 조금 높아져있음. ce 기침관찰하시고 치석관리 하실것. 스케일링은 오늘 안하시겠다고. ,,0,,,기타 증상,기타 증상,215,5
Mixed(혼합),FS,2185,B_W,s 슬개골 탈구로 local병원에서 진단을 받음 금일 사료를 오후 time 경에 먹음 방사선 검사에서 양측 mpl이 존재함 angle 각도는 양측이 도 이상 벌어진 상태임 deformity가 의심이 되는 상태임. ct검사후에 보호자님과 추가적인 상담 진행 ,,4, 슬개골 (아) 탈구 ,근육 골격 질환 ,통증,통증,143,12
K.C(Korean Cat),F,2056,A_라라,s 지난 번 치료 후 구토 증상 오늘도 구토한 것으로 보임 오늘 새벽부터 먹지 않음 설사 물 설사는 아님. 가루 비누를 먹었을 가능성 있다고 함. 범백 양성 범백 수액 d time ho 세파 씨메 tid 메타캄 sid 내일 오전 cbc 전해질 모니터링 사료는 d 급여 ,,"1,2",,,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),150,1
K.C(Korean Cat),MN,2022,C_잠실ON, 폐렴 재진 ray 검사상 흉수 확인 되어 원인에 대한 추가 검사 하기로 함 입원하여 검사 진행하기로 함 검사 항목 고양이 건강검진 항목과 병행 혈액검사 종합 전해질 cbc 방사선 촬영 흉복부 초음파 복부 갑상선 호르몬 검사 흉수 검사 천자 후 검사 probnp 검사 비용은 총 에 해드리기로 함 입원비 포함 방사선 검사상 우측 전엽 중엽 사이 fissure line 확인 우측 중엽쪽 삼각형 soft tissue opacity 확인 vd 상 caudal 쪽 mediastinum 영역 삼각형 모양의 fluid 의심 ddx 우측 흉수 중엽 collapse mediastinal fluid 초음파 검사상 방광내 떠다니는 슬러지 신장 피질 에코 mild하게 상승 ,,5, 폐렴 , 호흡기 질환 ,기침,기침,369,4
Maltese(말티즈),FS,2084,D_VIP, cc 간종양 혈변 혈액성 설사 다량 오늘은 혈액은 없으나 물설사 구토없음 이물 가능성 없음 식욕은 간식에만 반응 보임 몇달 전에도 하루정도 혈변보고 괜찮아짐 평상 시 물을 자주먹고 배뇨 많이함 t r aus no murmur no crackle mmc pale pink crt sec 혈액검사 crp cpl alp alt 분변검사 clostridium campylobacter 암진단키트 낮음 복부방사선 lateral 상에서 상중복부 쪽 mass 음영 방광에 opacity 높은 음영 관찰됨 복부초음파 full scan comment 간 우측엽의 혼합에코성 거대 종괴 약cm 관찰됨 나머지 간 실질의 저에코 결절들 관찰되며 종양으로부터의 전이 가능성이 있으므로 ct 촬영 시 delay 촬영 추천됨 portal vein flow 양호 양측 신장 피질 에코 상승 수질 석회화 좌측 신장의 낭포 확인됨 우측 부신 전극의 종대 time 확인됨 방광 내 고에코 슬러지 소량 관찰되며 방광 앞쪽배쪽벽의 미약한 비후 확인됨 time ct검사 comment 좌측 외측엽 유래로 추정되는 . time 크기의 종괴 관찰됨 불규칙한 변연을 나타내며 조영 증강 불균질함 간림프절 비장림프절 요추하림프절의 경등도 종대가 관찰되며 종양으로부터의 전이 가능성을 배제할 수 없음 초음파 검사 시 관찰되었던 간 실질의 다발성 저에코 결절들은 ct검사 시 정상 간 실질과 동일한 조영 증강을 나타내어 확인되지 않으므로 전이보다는 노령성 결절의 가능성이 더 높게 판단됨 그러나 전이를 완전히 배제할 수는 없음 accessory spleen 이 관찰되나 현증과 관계 없으며 incidental finding으로 간주할 수 있음 우측 부신 종대 초음파 소견과 동일 폐 및 흉부림프절 양호 imaging dx ddx primary hepatic neoplasia hepatic nodules nodular hyperplasia metastasis hepatitis metastatic or reactive lymphadenopathy nephritis chronic kidney disease hyperadrenocorticism cystitis accessory spleen radiologist 이현아 dvm ms 영상 검사 상 간 우측엽 거대 종괴 관찰됩니다. ct촬영을 통한 전의 여부 평가 후 수술적인 종괴 제거 필요. 조직검사에 결과에 따라 예후 판단 가능. 간종괴 제거 이후 발생할 수 있는 빈혈 및 재발 가능성 안내드림 수술비용 대략적으로 안내드렸으며 입원기간은 아이 상태에 따라 month 에서 일주일 이상될 수 있음 좌측 부신종대 및 석회화 관찰되므로 추 후 쿠싱에 대한 감별 필요하며 결과에 따른 적절한 처치 필요함. time 안승엽과장님 예약 간종양수술 및 ct소견 상담 후 수술진행 예정. ,부신종대,2, 간 / 담도 / 췌장의 종양 , 간 · 담도계 및 췌장 질환,설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),1387,8
Pekingese(페키니즈),FS,2126,A_라라,s 한달전 발작헀음 금일 발작 회 변도 봄 좌측에서 심잡음 청진됨. 흉부 방사선 시 후엽 폐부종 관찰됨. 컨디션은 나쁘지 않음. 폐 부종 심잡음 수액 하프 내복약 없음 주사처치 라식스 qid pm am am pm 회 처치 예정 소변량 호흡수 심박수 체크 내일 심초음파 심전도 복부 초음파 요검사 실시하기로 함. 심초음파 끝나고 나서 연락드리기로 했음. 전해질 흉부방사선 필요 비용추가 설명은 못드림. ,2001.0,16,,,발작,발작,224,6
Shih Tzu(시추),FS,2087,B_W,구토 없으나 점액성 설사를 자주 보임. 스멕타 추가했음. 기저귀를 채웠음. 물은 스스로 잘 마심. 심장약 보호자가 가지고 온 것은 보관만. 안약 토마신 포러스. cyclosporin 안약 큐알론 회용 개. bun crea 어제보다 질소혈증 감소. 의뢰병원의 검사결과와 비교이므로 이에 대한 변화는 내일 다시 평가 ,2245,2, 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),175,8
Maltese(말티즈),MN,2071,A_라라,s time 전에 왔음 음식 잘 먹지 않고 식욕 줄었음 구토 있고 물만 먹음 오늘 설사 새벽 부터 일어나 있고 서 있음 산책 시에도 활력도 줄었음 체중 이상 감량되었고 이는 검사가 필요한 사인임. 내일 언니 집으로 돌아갈 예정이고 언니가 다니던 병원에서 검사 하신다고 해서 오늘은 수액 처치만 원함. 기력저하 식욕저하 내일 꼭 병원에 가셔서 검사 진행하시라고 안내함 ,,"1,21",,,"구토(급성/만성),식욕부진, 식욕저하",구토(급성/만성),205,2
Pomeranian(포메라이안),F,2116,A_라라,초음파 검사 서 위내 음식물 간 매질 불균질해 보임 담낭 고에코 슬러지 양측 신장 신우부 석회화 신장 피질 에코 불균질 좌측 부신 편측극 비후 소견 우측 영상화 안됨. 장내 가스 소견 위내 가스 소견 분변 등으로 영상화 어려움 좌측 난소 에코 증가 우측 난소 낭종. 방광내 고에코 슬러지 요추하 림프절 확인 안됨 ,2066.0,221,,,"종괴, 혹, 낭종","종괴, 혹, 낭종",175,11
Poodles(푸들),FS              ,슬개골탈구+십자인대,E_24시아이, 설치한 벽을 뛰어넘다가 왼쪽 뒷다리 파행으로 내원함 식욕 활기 백신 사상충 왼쪽 슬개골탈구 십자인대 중성화수술 p month 입원 year month month 내복약 month 분 포함 . ,-,23,,,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",108,7
Dachshunds(닥스훈트 ),M,2181,B_W,닥터 k에서 의뢰 지난주 day 에 아파하고 떨고 걷는상황 토 day 집에서 활동성은 떨어지고 걷는 상황. 계단은 못걷고 내려오지 못함. day 에 걸어서 병원에 감. 활력은 떨어짐. 중간에 걷지 않으려는 신호를 함. day 부터 입원해서 내과처치 진행함. 갈수록 증상은 나빠짐 day 내원시 신경계 평가는 심부통증 없음 항문괄약근은 반응있음. 배뇨 잘 못하는 상황. olby score상태 mri촬영 바로 진행함. 오후 time 예약 촬영 결과 요추 번 좌측으로 탈출되어 있음. 척수 실질의 변화 관찰됨. 보호자 면담 요추 번의 심한 압박 압박부위에서 앞뒤로 실질의 변화 고에코로 관찰됨. 수술적으로 압박을 필수적으로 풀어줘야 하는 상황 설명. 회복에 있어 장기적 시간이 걸림. 수주 입원이 예상되고 수개월의 재활기간이 필요 예상 수술후 month 이내에 척수연화증의 가능성이 다른 환자 보다 높음 설명하고 동의 구함. 좌측 요추 time laminectomy수술 진행. 위장 출혈 확인됨 스테로이드 요법에 의한 출혈로 보임 ,,4, 추간판 탈출증 ,근육 골격 질환 ,통증,통증,519,12
Yorkshire Terrier(요크셔 테리어),F               ,2043,D_VIP, 구토 식욕부진 설사 동거견들과 함께 증상 나타나기 시작해서 내원 검사상 pcv상승 crp상승 두드러짐 식중독에 의한 위장염으로 잠정진단하고 대증치료 실시 알부민 저하시 h.alb투여 고려 중 췌장염 속발 가능성 있으며 금일 따로 검사는 하지 않음 공격적인 대증치료 반응 불량시 ffp투여 고려 중 ,,"1,2", 위염 / 위장염 / 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),167,1
Yorkshire Terrier(요크셔 테리어),MN,2259,B_W,s. time 전 보호자님이쓰시는 펜타닐패치 time 를 몇번 씹었다가 뱉음 그 직후 일어서지못하고 비틀거림 설사 있었음 month 령일때도 펜타닐 섭식한 적 있으며 time 수액처치 후 증상완화 되었음 검사진행하는 중 자세유지가 가능해지는 등 증상이 빠르게 회복됨 o. pe bw temp. hr 의식명료함 네 발로 부중하지 못함 혈액검사 ,,2, 다른 중독 질환 ,전신성의 질환,설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),191,8
Mixed(혼합),FS,2001,D_VIP,혈액검사결과 펫뷰발송요청 발송완료 카디악사료구매 마지막 재검 이후 식욕 활력은 좋은 편 몸이 뜨거움 기침은 간헐적이며 pds 병용시 곧 호전 pe bcs 복부 지방은 많은 편 사지 근육량은 감소 체표임파선 정상 침샘 종대 없음 iv vi holosystolic murmur in lt apex to rt intermitent wheeaing in cervical trachea no crackle 심장초음파 kg ddx degenerative mitral valve disease comment mr severe mv remodeling severe tr time mild 이완기능 저하 stage a ratio edvi ref. 수축기능 양호 esvi ref. la 압력 증가 mild peak time la ao ratio lvd ao ratio mr 및 cardiac remodeling 미약한 la 압력 상승 관찰되나 기능 저하는 심하지 않음 tr의 속도 높지 않으며 양이 적으므로 현재는 폐고혈압으로 진행되지 않은 상태 radiologist 이현아 dvm ms 전반적인 상태는 이 전과 유사 tr pah는 경미한 편 la ao는 과거보다 소폭 증가하였으나 시간의 경과에 따른 리모델링 가능성 있으며 bnp 추이로 추가 판정 향후에도 pds 간헐적 사용 필요할 것으로 생각되는 환자로 미리 운동 재활 권고드림 보조제 관리가 없어 필수로 오메가 유산균 헤파카디오 정도 추천드림 bnp sdma 통보 다음 재검은 오후 time 혈압 신장수치 위주 체크 전화통화 정국 month 진료이후 month month 예약이라 약이 모자라는 일이 발생할 수있어 확인전화 드림. 봉 남은상태라 괜찮을거같다고 하심. 혹시나 로스분이 생기거나 할 수 있어 그럴시에는 연락달라고 당부드림. ,,5, 판막증 (의심 포함한 심장 잡음 + 심부전 증후 자), 순환기 질환 ,기침,기침,882,4
Yorkshire Terrier(요크셔 테리어),M,2126,C_잠실ON,cc 경련 자다가 경련 증상 time 정도 진행 내원시 활력 정상 방사선 후두골 이형성 혈액검사 nrf 혈압 money 체온 정상 mpss 만니톨 처치 입원 원치 않으심 내일 다시 오셔서 원장님과 추후검사 mri 와 내복약 복용에 대해서 상의하시기로 함 ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,142,6
Persian Cat(페르시안 고양이),MN,2078,C_잠실ON,cc 구토 회 금일 안으려고 하면 소리냄. 평소 소리를 내지 않는 스타일. 평소 구토를 하지 않음. 이물 병력 없음. 비닐을 잘 뜯긴하지만 먹지는 않음. 사료 로얄캐닌 센 서티브 물 자주 먹음. 지방 다녀오셨다가 금일 귀가하여 오후까지 큰 이상 없었음 최근 체중은 유지됨. vac no booster. 혈액검사 year 전 건강검진 상 간기능이상 경도 . 초음파는 보지 않음. 논현동물병원. 뇨검사 색 깔이 변하는 모래를 이용 상 특별한 이상 없음. 동거묘 나이가 같았음 같은 품종 가 year 전 felv 진단을 받고 당일날 폐사한 병력이 있음. . 신체검사상 중복부의 mass 양 촉진. 정밀초음파 검사 요. . 방사선 검사상 간비대 신장주변 결석추정 . 혈액검사상 혈청색 일부 yellowish. alt ast ggt의 증가 특히 alt는 배이상 경도의 고빌리루빈혈증 고칼슘혈증 중증 고글로불린혈증 g ratio 가 확인됨 . cbc 검사상 백혈구 증가증이 확인됨 . felv fiv negative . 환자는 금일 갑작스런 구토를 호소하였으나 뚜렷한 소화기 증상의 원인이 확인되지 않고 촉 진상 이상 촉진이 확인되어 정밀검사 실시. 정밀검사상 간수치 증가 염증수치 증가 고칼슘혈증등이 확인됨에 따라 다음과 같은 감별진단 이 가능 ddx. bacterial viral infectious hepatitis colangitis colangiohepatitis hepatic abcsess. tumor lsa 등 . lipidosis 익일 초음파 결과에 따라 처방 변경 예정 우선적인 항생제 처치 실시. rx. metronidazole time kg bid iv plan. 초음파 결과에 따라 항생제 소염제 udca vit samylin 헤파비아등을 처방할 수 있 으며 경우에 따라 면역억압용량의 스테로이드 및 면역억제제 사용 필요할 것으로 보임 연령과는 차이가 있으나 fip 가능성 언급 고칼슘혈증과 관련 lymphoma 가능성 언급 . 복부 엑스레이 외측상 craniao ventral 위치에 간엽과 이어진듯한 mass vd 상 부위 rk 의 medial 쪽 mass effect mass 에 의해 위 좌측 변위 양측 신장 결석 . 복부 초음파 양측 신장 수 피질 에코 상승 양측 신장 diverticulum 위치에 결석 좌측 신장 피질 개 정도의 cyst 간 전반적 에코 상승 복부 중앙부위 우신의 cranio medial 위치에 중앙쪽 간엽과 이어진 mass 우측 간엽 담낭 주위에 too many tubule sign 좌측 간엽 lateral lobe 에 cyst . time haeptic lymph node 비대 방광에 떠다니는 슬러지 ddx hepatic tumor bileduct tumor bilary obstruction biliary cyst hepatitis renal calculi pkd nephritits time ct 촬영하고 time 수술 가능여부 체크해드리기로 함 외과원장님 상담 검사 수술중 위험성 말씀드림 금일 내일 입원비용까지 수납 완료하심 수술비용은 상태에 따라 정도 설명드림 ,,1, 담관염 / 담관 간염 , 간 · 담도계 및 췌장 질환,구토(급성/만성),구토(급성/만성),1523,0
Shih Tzu(시추),F               ,2046,E_24시아이, 구토. 바나나 사료.기타간식 다량 섭식. 저녁때에 총 차례 구토. 식욕 없음 활기 정상 설사 없음 예방접종 사상충 all done x ray 특이사항 없음 혈액검사 특이사항 없음 일반 ray 상에서 보이지 않는 이물 가능성. 조영촬영 필요함 설명고지. month 입원 관찰요망. 보호자 보류. 집에서 지켜 보겠다고. 내복약 복용은 금일 낮 time 까지 지켜보고 구토 없으면 먹이기로. ,-,1, 소화관 이물 / 섭취 , 소화기 질환 ,구토(급성/만성),구토(급성/만성),217,0
Yorkshire Terrier(요크셔 테리어),MN,2082,C_잠실ON, month 전부터 식욕부진 어제 세벽에 갑자기 상태 악화되어 부천 이지동물병원에서 응급처치받음 금일 본원으로 레퍼 검사상 췌장염 hge sirs 소견 보여서 위험성 안내드림 dic 가능성 언급드림 비용은 대략 month money 정도 안내드림 ,,21, 췌장염 , 간 · 담도계 및 췌장 질환,"식욕부진, 식욕저하","식욕부진, 식욕저하",138,9
토이푸들,F,2123,C_잠실ON, cc 재진 계속 떨고 낑낑대는 증상 지속. 구토 설사증세는 없음 식욕 저하 안았을 때 소리지른 적 있음 . 체온 정상. . 허리 촉진시 부근 통증 미약하게 호소 . 방사선 사진상 번 척추체 사이 미약하게 좁아짐 . 초음파 담낭 미약한 슬러지 장 에코 약간 상승 . 혈액검사 nrf tx. 덱사 time kg sc . 한원장님이 상담하심 디스크 준해 설명. 삼일 후 김수현 과장님과 침치료 상담예정. 안을 때 허리받쳐 안아주시고 케이지레스트 최근 갑작스럽게 살이 쪄서 체중관리 다이어트사료 양 줄이기 설명해드림 ,,4, 척수 질환 (추간판 탈출증 제외) , 신경 질환 ,통증,통증,286,12
토이푸들,MN,2222,C_잠실ON, mass size 약간 커졌으며 발적 정도 증가 피부가 없는 부분이라 제거 후 봉합시 tension의해 열개 발생할 수 있어 최소한의 mass제거 예정 ,,221, 지방종 ,피부 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",86,11
K.C(Korean Cat),M,2071,B_W,한달동안 month 에 한번 정도 구토를 함 오늘도 노란색 위액 구토. 털이 있기도 함 어느날은 녹색토가 있었음 오늘 time 전에도 그런 행동이 있었음 중성화 수술은 진행하지 않음 환경의 변화 식이를 바꿔졌었음 캔사료 간식을 주심 그이후로 토를 하는 거 같다고 생각도 하심 시기가 맞음 간식의 모양과도 비슷하다고도 함 예전에 진료를 볼 때 신장이 하나라는 얘기를 들음 내일 ray 초음파를 통해 재확인. 금식 ,,1, 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,구토(급성/만성),구토(급성/만성),230,0
British Shorthair Cat(브리티쉬 숏헤어 고양이),M,2236,B_W,오늘 파보 키트검사에서 양성 메세나프렌즈 오늘 초진이였음 구토는 지난주 day 에 회 설사는 계속 있었음 month time 차접종 완료 fip 음성 felv fiv 음성 콧물은 한번. 눈꼽은 조금 기침은 없었음 wbc 백혈구 감소증이 동반되어 언제든 응급에 빠질 수 있다고 말씀드림. 보호자께서 심폐소생술은 진행원하심. 응급시 보호자에게 연락해주시고 안되면 친구분에게 하시면 됩니다. 구토가 없으면 내일 아침부터 소량씩 베이비켓을 부탁드립니다. 혈청은 month 동안 투여할 예정이고 다수의 구토가 있으면 metocloprimide cri 부탁드립니다. ,,"1,2", 고양이 범 백혈구 감소증 · FPV ,혈액 및 조혈기의 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),311,1
K.C(Korean Cat),MN,2093,D_VIP, money 선결제하셨습니다 그림 뭘 잘못먹은것 같다고하심 의심되는건 없다고하시는데. 회진시간 안내됨. 응급으로 진료 원하심. 비용설명완료 금일 오전 구토 회 소화안된 사료 이후 위액 배변시 처음엔 덩어리 확인 이후 무른 변 변 본 이후 사료 깨작깨작하더니 이후 구토 오늘 배뇨 없었음 동거묘 마리 어제 화장실 치웠을때 감자 있었으나 꽁치가 본것인지는 정확치 않음 혈검 cbc wbc c azotemia bun crea electrolytes hypok saa fpl 방사선 full bladder 뇨카 장착 후 결석 개 확인 복부초음파 full scan by hyuna findings 양측 신장 모양의 심한 변형 피질 에코 상승 수피질 경계 모호 우측 신우 확장 방광 벽 비후 time 방광 내 작은 결석 개 관찰됨 imaging dx ddx congenital renal dysplasia chronic kidney disease cystitis urolithiasis 신후성 azotemia 촉발됐을 가능성 높으나 신장이형성 동반되어 수액처치하며 모니터링 필요 소화기증상 모니터링 ,Urolithiasis,1, 요도 폐색 , 비뇨기과 질환 ,구토(급성/만성),구토(급성/만성),553,0
Maltese(말티즈),F,2082,B_W,구토 설사. month . pe cachexia 경미한 탈수소견. no murmur. tx ns time 동안 탈수교정 후 유지속도. 오후 time time 부터 처치. 주사처치. time 후에 전해질 재검. 요검사하려고 했는데 요가 없어서 검사하지 못함. cbc는 정상 na cl ca ph hco 대사성 알칼리증. alb tp amylase lipase 분변검사상 chained cocci만 관찰. 염증세포와 병원성 세균은 관찰되지 않음. 전해질 이상 알부민 감소 췌장수치 상승. 췌장염에 의한 장염 요검사가 필요하지만 요가 없어서 검사할 수 없음. 수화시킨 후에 요단백에 대한 검사가 필요함. 초음파 검사 cpl키트 응고계검사 dimer teg 필요. 검사 후 혈장과 알부민 투여. 추가검사와 처치는 하지 않겠다고 함. 수액처치와 주사처치하고 저녁 time 경에 상담 후 퇴원하기로 함. 약과 사료 처방. ,,"1,2", 췌장염 , 간 · 담도계 및 췌장 질환,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),454,1
스핑크스,M               ,각막궤양,E_24시아이, 접종 내외부 기록 확인해주세요 입양한지 month . 가정묘. os 각막궤양 의심. 항상 눈을 찡그림. 이전 병원에서 안약 사용한지 month 정도 사용. 증상 차도 없음. 안약 개 처방 받았는데 어떤안약인지 모름 예방접종. 기초접종 모두했음. 동거묘 없음. 식욕 활력 정상 입양후 구토 횟수 총 회 설사 없음. chemi 전신질환 가능성 낮음. glob fsaa 모두 정상 os stippling sign negatvie 궤양없음 iop sono 후안방 특이점 없음. 번 라큐아 번 클로람페니콜 번 옵티뮨 회 day time 재진예정. ,,0,,,기타 증상,기타 증상,302,5
